,subject,name,review,time,location,sentiments
0,1st Honeymoon Stop,Vicki L,"The hotel is huge, overlooking the marina and it does seem like you can’t escape it wherever you go. That said, it looks amazing from so many different view points and at night also. Be prepared for a lot of people taking photographs. 

The hotel...More",Reviewed yesterday ,None,Positive
1,"Noisy, overcrowded",SklyarNatalie,"If you want to stay at this for being able to access the swimming pool make sure that you book the room on the highest floors, otherwise you will end up sleeping on the side of the shopping mall or even on the side of...More",Reviewed yesterday ,"Moscow, Russia",Positive
2,OK but not what it should be,Stanley S,"We all know about the amazing number of staff, the supposed attention to detail and the high standards...but MBS really lacks any sort of personal touch. You are made to feel like just another piece of cattle, even though you spend 500$ per night. Don't...More",Reviewed 2 days ago ,None,Positive
3,Just WOW,rohitpannu01,"We went here in a restrauent at night and everything about this place is so lovely...
A great hotel building, they have a shopping mall at the ground floor too, and amazing views of the city from top floor (56th floor), would love to stay...More",Reviewed 2 days ago ,"Chandigarh, India",Positive
4,Should be better,neilattack,"The facilities and amenities available at this hotel are world leading, of this I have no doubt and you do not need to read this review to know this. Aspects of the hotel are truly exceptional. There were some disappointments during our stay making this...More",Reviewed 3 days ago ,"London, United Kingdom",Positive
5,Awesome view from our room !,a_hua1997,"We had two nights there.The room is modern designed, has floor-to-ceiling windows with river view and able to see the Merlion statue from our room! Every evening, there are a firework show by the river and we are able to see it through our room...More",Reviewed 3 days ago ,SF,Positive
6,Nice but don't need to stay for long,Amy O,"We only stayed on night and while it was lovely, there are far better experiences to take advantage of in Singapore. The pool was nice but I got extremely burnt even after being completely covered in sunscreen (and I don't burn that easily). I saw...More",Reviewed 3 days ago ,"Melbourne, Australia",Positive
7,Amazing,Langford60,"Where do I start!!! What an amazing hotel and more than we expected. It’s a bucket list must!!!!!!.I was expecting a lot from the MBS and Singapore and neither disappointed. The view, food and the atmosphere made our stay unforgettable. We will return one day...More",Reviewed 3 days ago ,None,Positive
8,Great surprise. Upgrade to presidential suite ,layla a,"We booked 3 rooms .We were upgraded to a presidential suite which was marvelous. The views were incredible. The location of the hotel,the staff,The restaurants were great. Especially Lavo and breakfast at rice.highly recommend this hotel",Reviewed 3 days ago ,None,Positive
9,Club suite experience,Jacob F,"Booked a club suite, room was great and veiws are very nice. Service on check in was very slow even though we filled out our information online before as requested. The pool is way to busy to be considered relaxing so we didn't even bother...More",Reviewed 3 days ago ,None,Positive
